alex 3.1.3-3
alsa-oss 1.0.28-1
alsa-utils 1.0.28-1
archlinux-themes-slim 1.2-4
autoconf 2.69-2
automake 1.14.1-1
baobab 3.14.1-1
bash 4.3.030-1
bash-completion 2.1-5
binutils 2.24-8
bison 3.0.2-1
bzip2 1.0.6-5
cabal-install 1.20.0.3-2
coreutils 8.23-1
cryptsetup 1.6.6-1
ctags 5.8-5
device-mapper 2.02.114-1
dhcpcd 6.6.4-1
diffutils 3.3-2
dmenu 4.5.13.5ed5e90-1
dwb 2014.03.07-2
e2fsprogs 1.42.12-1
empathy 3.12.7-1
eog 3.14.2-1
epiphany 3.14.2-1
evince 3.14.1-2
fakeroot 1.20.2-1
feh 2.12-1
file 5.20-2
filesystem 2014.10-3
findutils 4.4.2-6
firefox 34.0.5-1
flashplugin 11.2.202.425-1
flex 2.5.39-1
font-misc-ethiopic 1.0.3-1
gawk 4.1.1-1
gcc 4.9.2-1
gcc-libs 4.9.2-1
gdm 3.14.1-2
gettext 0.19.3-1
ghc 7.8.3-2
git 2.1.3-1
glibc 2.20-4
gnome-backgrounds 3.14.1-1
gnome-calculator 3.14.1-1
gnome-contacts 3.14.2-1
gnome-control-center 3.14.2-1
gnome-desktop 1:3.14.2-1
gnome-dictionary 3.14.2-1
gnome-disk-utility 3.14.0-1
gnome-font-viewer 3.14.0-1
gnome-icon-theme 3.12.0-2
gnome-icon-theme-extras 3.12.0-1
gnome-icon-theme-symbolic 3.12.0-2
gnome-keyring 3.14.0-1
gnome-screenshot 3.14.0-1
gnome-session 3.14.0-1
gnome-settings-daemon 3.14.2-1
gnome-shell 3.14.2-1
gnome-shell-extensions 3.14.2-1
gnome-system-log 3.9.90-1
gnome-system-monitor 3.14.1-1
gnome-terminal 3.14.2-1
gnome-themes-standard 3.14.2.3-1
gnome-user-docs 3.14.1-1
gnome-user-share 3.14.1-1
grep 2.21-1
grilo-plugins 0.2.14-0.1
groff 1.22.3-2
grub 1:2.02.beta2-5
gtk-chtheme 0.3.1-8
gtk2-perl 1.2492-1
gucharmap 3.14.2-1
gvim 7.4.537-1
gzip 1.6-1
haddock 2.14.3-1
happy 1.19.3-3
haskell-mtl 2.1.3.1-3
haskell-regex-base 0.93.2-19
